post_title,post_image_url,snippet_summary,jump_link,jump_table
ARGUCOM Sivasagar Admission 2021 – Know All Details Here,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjyFhyphenhyphenrVvhibB0t8hi8uB0ZDo79MyB-bjM2hpqIvAIE3Re45hwdHUuQwiGE21nJeJrAkuRhEEJsqHlVW4897ckg_2dtavTEpiAdU6DPaldPcierRwR5rzn0tLJiEWJS4Gb0sim4IhgzUq0/w360-h190-p-k-no-nu/argucom-sivasagar-admission.jpg,"ARGUCOM Sivasagar Admission  Assam Rajiv Gandhi University of Co-operative Management, ARGUCOM, Sivasagar  has released the official notification 2021  for  admission  into various PG and Law courses. In this article, you will know about ARGUCOM Sivasagar Admission...",https://www.assamcareer.com/2021/07/argucom-sivasagar-admission.html#more,"[{'jump_name': '1', 'jump_url': ''}, {'jump_name': '2', 'jump_url': ''}, {'jump_name': '3', 'jump_url': ''}, {'jump_name': '4', 'jump_url': ''}, {'jump_name': '5', 'jump_url': ''}]"
Tezpur University MBA (Executive) Programme 2021,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjQu9L2IalAcrGuysHQX5E_Neu9dtaurooKk-iKmORchMXoPsQxuA7h6EP-0Z6izV7lN1io_BHvngZMIKWYFDtqJK88ZxmyFk8WIRUWkCe6iz8EvR9wjVX8qrRs2h9joSD_jizg69PSvim3/s1600/sun.gif,Tezpur University MBA (Executive) Programme 2021 Tezpur University  has released the official notification for admission in to its MBA (Executive) Programme  for the session 2021-22. Eligible professionals may apply online for this three semester programme that will be...,,[]
Kendriya Vidyalaya Admission 2021 - KV Admission for Class I & II to XI,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjQu9L2IalAcrGuysHQX5E_Neu9dtaurooKk-iKmORchMXoPsQxuA7h6EP-0Z6izV7lN1io_BHvngZMIKWYFDtqJK88ZxmyFk8WIRUWkCe6iz8EvR9wjVX8qrRs2h9joSD_jizg69PSvim3/s1600/sun.gif,Kendriya Vidyalaya Admission 2021 Kendriya Vidyalaya Sangathan  has released the official notification of Kendriya Vidyalaya Admission Process  for Academic Session 2021-22 . Interested and eligible students may submit application for admission  into Kendriya Vidyalaya...,https://www.assamcareer.com/2021/04/kendriya-vidyalaya-admission.html#more,[]
MSSV Nagaon Admission 2020 – Online Application for UG and PG Courses,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjQu9L2IalAcrGuysHQX5E_Neu9dtaurooKk-iKmORchMXoPsQxuA7h6EP-0Z6izV7lN1io_BHvngZMIKWYFDtqJK88ZxmyFk8WIRUWkCe6iz8EvR9wjVX8qrRs2h9joSD_jizg69PSvim3/s1600/sun.gif,"MSSV Nagaon Admission 2020 Mahapurusha Srimanta Sankaradeva Viswavidyalaya (MSSV), Nagaon  has released the official admission notification for various Under Graduate and Post Graduate Programmes  for the session 2020-21. In this article, we will discuss about the various...",,[]
Meghalaya D.El.Ed Admission 2020 – Download Admit Card,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjQu9L2IalAcrGuysHQX5E_Neu9dtaurooKk-iKmORchMXoPsQxuA7h6EP-0Z6izV7lN1io_BHvngZMIKWYFDtqJK88ZxmyFk8WIRUWkCe6iz8EvR9wjVX8qrRs2h9joSD_jizg69PSvim3/s1600/sun.gif,"Directorate of Educational Research and Training, Meghalaya  has released official notification for Meghalaya D.El.Ed Admission 2020 . In this article, you will know about Meghalaya D.El.Ed admission process, qualification, selection process, application form, admit...",,[]
"RGIPT Sivasagar Admission 2020 – Check Eligibility Criteria, Application Form & Important Dates",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjQu9L2IalAcrGuysHQX5E_Neu9dtaurooKk-iKmORchMXoPsQxuA7h6EP-0Z6izV7lN1io_BHvngZMIKWYFDtqJK88ZxmyFk8WIRUWkCe6iz8EvR9wjVX8qrRs2h9joSD_jizg69PSvim3/s1600/sun.gif,"Rajiv Gandhi Institute of Petroleum Technology (RGIPT)  Sivasagar has released RGIPT Admission notification 2020  . In this article, you will know about  RGIPT Sivasagar Admission Procedure, Admission Fee, Courses offered, Application Form  and other important details....",,[]
Sericulture Assam Admission 2020 – One Year Certificate Course,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjQu9L2IalAcrGuysHQX5E_Neu9dtaurooKk-iKmORchMXoPsQxuA7h6EP-0Z6izV7lN1io_BHvngZMIKWYFDtqJK88ZxmyFk8WIRUWkCe6iz8EvR9wjVX8qrRs2h9joSD_jizg69PSvim3/s1600/sun.gif,"Sericulture Assam Admission 2020 Sericulture Department, Assam  has released the admission notification  for the One Year Certificate Course Training  in the Sericulture Training Institute, Assam, Titabor  for the session 2020-2021. Interested candidates may apply here...",https://www.assamcareer.com/2020/09/sericulture-assam-admission.html#more,[]
"RIO, Gauhati Medical College, Guwahati Admission 2020 : B. Sc Optometry Course",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjQu9L2IalAcrGuysHQX5E_Neu9dtaurooKk-iKmORchMXoPsQxuA7h6EP-0Z6izV7lN1io_BHvngZMIKWYFDtqJK88ZxmyFk8WIRUWkCe6iz8EvR9wjVX8qrRs2h9joSD_jizg69PSvim3/s1600/sun.gif,"Directorate of Medical Education (DME), Assam  has released the official admission notification 2020  for 3 (Three) years Degree in B. Sc Optometry course  at Regional Institute of Ophthalmology, (RIO) Gauhati Medical College, Guwahati  under Srimanta Sankaradeva University...",,[]
"CMS, Dibrugarh University MBA Admission 2020, Online Application",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjQu9L2IalAcrGuysHQX5E_Neu9dtaurooKk-iKmORchMXoPsQxuA7h6EP-0Z6izV7lN1io_BHvngZMIKWYFDtqJK88ZxmyFk8WIRUWkCe6iz8EvR9wjVX8qrRs2h9joSD_jizg69PSvim3/s1600/sun.gif,"Centre for Management Studies (CMS), Dibrugarh University  has released the official admission notification  for AICTE approved Two Year (Four Semester) MBA (FT) Programme and Three Year (Modular) MBA (PT) Programme  for the session 2020-2021. Eligible candidates may...",,[]
"Gauhati University B. Music Admission 2020, Details Inside",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjQu9L2IalAcrGuysHQX5E_Neu9dtaurooKk-iKmORchMXoPsQxuA7h6EP-0Z6izV7lN1io_BHvngZMIKWYFDtqJK88ZxmyFk8WIRUWkCe6iz8EvR9wjVX8qrRs2h9joSD_jizg69PSvim3/s1600/sun.gif,"Gauhati University B. Music Admission 2020 Luit Konwar Rudra Barua State College of Music, Guwahati  has released official admission notification for First Semester Class of Bachelor of Music (B. Music) Degree Course of Gauhati University . Candidates may apply for admission...",,[]
Medical Colleges in Assam – Check All Details Here,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjQu9L2IalAcrGuysHQX5E_Neu9dtaurooKk-iKmORchMXoPsQxuA7h6EP-0Z6izV7lN1io_BHvngZMIKWYFDtqJK88ZxmyFk8WIRUWkCe6iz8EvR9wjVX8qrRs2h9joSD_jizg69PSvim3/s1600/sun.gif,"Looking for the medical colleges in Assam ? Here is a list of medical Colleges in Assam. These colleges offer BAMS, BHMS, MBBS, BDS and MD courses in various medical disciplines.     Here is the complete list of medical colleges in Assam.    Medical Colleges in Assam...",,[]
Engineering Colleges in Assam – Check All Details Here,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjQu9L2IalAcrGuysHQX5E_Neu9dtaurooKk-iKmORchMXoPsQxuA7h6EP-0Z6izV7lN1io_BHvngZMIKWYFDtqJK88ZxmyFk8WIRUWkCe6iz8EvR9wjVX8qrRs2h9joSD_jizg69PSvim3/s1600/sun.gif,Looking for the engineering colleges in Assam ? Here is a list of Engineering Colleges in Assam. These colleges offer B.E. and B.Tech courses in various engineering branches/streams.        Government Engineering Colleges in Assam   &nbsp;    &nbsp; ...,https://www.assamcareer.com/2013/05/engineering-colleges-in-assam.html#more,[]
"GPAT 2024 – Graduate Pharmacy Aptitude Test, Online Apply",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjv9m4xf_hpiuHe_ntWpXAKk7lAmiL6IOISWGKNaKuIJnxilZyiTtqzv18Hgunl6ECNUKn_L_UVCv1XnlT_knvrApjq1iyCDTecT7dPYMw7i0da_fSCn1usd7aYZkq3kqLJ3ZaAN7yh6Hw/w360-h190-p-k-no-nu/CMAT-2020.png,"The GPAT 2020 will be conduct by National Testing Agency (NTA) on the same pattern as per the Year 2019 i.e., Computer Based Test on January 28, 2020 from 02.30 p.m. to 05.30 p.m. for admission to M. pharma or its equivalent courses across the country. The...",,[]
NPTI Guwahati Admission Notice 2019 – 26 Weeks’ PDC–T&D Course [60 seats],https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjQu9L2IalAcrGuysHQX5E_Neu9dtaurooKk-iKmORchMXoPsQxuA7h6EP-0Z6izV7lN1io_BHvngZMIKWYFDtqJK88ZxmyFk8WIRUWkCe6iz8EvR9wjVX8qrRs2h9joSD_jizg69PSvim3/s1600/sun.gif,"NPTI Guwahati Admission 2019 National Power Training Institute, (Ministry of Power, Govt. of India), North Eastern Region, Guwahati, Dakshingaon Road, Kahilipara, Guwahati – 781019, Assam invites applications from eligible candidates for 26 Weeks’ Post Diploma...",,[]
Directorate of Fisheries Admission – 12 months Fishery Demonstrator Training Course,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjQu9L2IalAcrGuysHQX5E_Neu9dtaurooKk-iKmORchMXoPsQxuA7h6EP-0Z6izV7lN1io_BHvngZMIKWYFDtqJK88ZxmyFk8WIRUWkCe6iz8EvR9wjVX8qrRs2h9joSD_jizg69PSvim3/s1600/sun.gif,"Applications are invited from the intending candidates who are citizen of India for undergoing 12 months Fishery Demonstrator Training Course under Directorate of Fisheries, Assam, Guwahati additionally conducted by the Fishery Department for the session 2018-19....",,[]
"JEE Advanced 2024 – Joint Entrance Examination (Advanced), Online Apply",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjrkzpxsq5FyFWWDVHy_4_CdeAEyuJVPjl8L8fFGR_LT7ELBjOVFAKb5IRgLgu2mfTab3SPccT1H7RQlkduGL1S1oPVi_9pNbTqcMErh2cdAVPIRHTLNG9ltJmwBH5WZTHTT4CsCwV9GX0fLJSPsn63Gv7J-bSy8lCE1GLG9BAb9rUgV_kc65Lde4tcZGY/w360-h190-p-k-no-nu/jee-advanced.jpg,JEE Advanced 2024 Indian Institute of Technology (IIT) Madras  has released the official notification of Joint Entrance Examination (Advanced) [JEE (Advanced) ] 2024 . Interested and eligible candidates may apply online  here . &amp;nbs...,https://www.assamcareer.com/2020/02/jee-advanced.html#more,"[{'jump_name': 'Online Application Form', 'jump_url': 'https://jeeadv.nic.in/applicant'}, {'jump_name': 'JEE Advanced Important Dates', 'jump_url': 'https://jeeadv.ac.in/imp_dates.html'}, {'jump_name': 'JEE Advanced Syllabus', 'jump_url': 'https://jeeadv.ac.in/documents/jee-advanced-2024-syllabus.pdf'}, {'jump_name': 'Official Notification', 'jump_url': 'https://jeeadv.ac.in/documents/IB_V.1.0_JEE_Adv_2024_English.pdf'}, {'jump_name': 'Official Website', 'jump_url': 'https://jeeadv.ac.in/'}]"
"AIIMS Admission 2024 – BSc Nursing Application Form, Online Apply",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjQu9L2IalAcrGuysHQX5E_Neu9dtaurooKk-iKmORchMXoPsQxuA7h6EP-0Z6izV7lN1io_BHvngZMIKWYFDtqJK88ZxmyFk8WIRUWkCe6iz8EvR9wjVX8qrRs2h9joSD_jizg69PSvim3/s1600/sun.gif,"AIIMS Admission 2024 All India Institute of Medical Sciences, New Delh i has released the official admission notification for admission into B.Sc. (H) Nursing/ B.Sc. Nursing (Post-Basic)/ B.Sc. (Paramedical Courses) and M.Sc Nursing/ M.Sc courses/ M. Biotechnology  for...",https://www.assamcareer.com/2024/03/aiims-admission.html#more,"[{'jump_name': 'Category', 'jump_url': ''}, {'jump_name': 'General/ OBC- (NCL)', 'jump_url': ''}, {'jump_name': 'SC/ST/ EWS', 'jump_url': ''}, {'jump_name': 'PWBD', 'jump_url': ''}, {'jump_name': 'Mode of payment', 'jump_url': ''}]"
DHE Assam Student Unique ID – Online Registration & Correction Form,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjQu9L2IalAcrGuysHQX5E_Neu9dtaurooKk-iKmORchMXoPsQxuA7h6EP-0Z6izV7lN1io_BHvngZMIKWYFDtqJK88ZxmyFk8WIRUWkCe6iz8EvR9wjVX8qrRs2h9joSD_jizg69PSvim3/s1600/sun.gif,"  DHE Assam Student Unique ID &nbsp; Directorate of Higher Education (DHE), Assam  makes it mandatory to generate Unique ID  for all aspiring students seeking Online Admission  starting from the Academic Session 2020-2021. In this regard, DHE has released a notification...",https://www.assamcareer.com/2021/07/dhe-assam-student-unique-id.html#more,"[{'jump_name': 'Generate Unique ID', 'jump_url': 'http://dheonlineadmission.amtron.in/sp/#registration'}, {'jump_name': 'Official Notification', 'jump_url': 'https://directorateofhighereducation.assam.gov.in/sites/default/files/swf_utility_folder/departments/dhe_medhassu_in_oid_4/menu/document/notice.pdf'}, {'jump_name': 'Forgot Unique ID?', 'jump_url': 'http://dheonlineadmission.amtron.in/sp/'}, {'jump_name': 'Update / Correction Form', 'jump_url': 'http://dheonlineadmission.amtron.in/sp/login'}, {'jump_name': 'Official Website', 'jump_url': 'https://directorateofhighereducation.assam.gov.in/'}]"
"GPAT 2024 – Graduate Pharmacy Aptitude Test, Online Apply",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjv9m4xf_hpiuHe_ntWpXAKk7lAmiL6IOISWGKNaKuIJnxilZyiTtqzv18Hgunl6ECNUKn_L_UVCv1XnlT_knvrApjq1iyCDTecT7dPYMw7i0da_fSCn1usd7aYZkq3kqLJ3ZaAN7yh6Hw/w360-h190-p-k-no-nu/CMAT-2020.png,"The GPAT 2020  will be conduct by National Testing Agency (NTA)  on the same pattern as per the Year 2019 i.e., Computer Based Test on January 28, 2020  from 02.30 p.m. to 05.30 p.m. for admission to M. pharma or its equivalent courses across the country.   The...",,[]
Dibrugarh University B.Ed Admission 2024 – Check DU B.Ed CET Result,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjuLCaedTr_bWh9dzCrxJwDk_dGZWP-4OSmWTN3fL5ajSg9C08UdRs6FY2FwAqPI9XGUA71vxmEdApjUnHhB4mNbvFlvc1qP-eDG5dEfmldw81fGODdO0TW_rS75NRn0kQLXsu-38hm_0ISIdBzupkQZQq-2dVyEQIPJ72V0lDjZIMOlJpiH8tPqQTk/w360-h190-p-k-no-nu/dibrugarh-university.webp,"DU B.Ed CET Result 2024 Dibrugarh University has released the results of the Dibrugarh University B.Ed. Common Entrance Test 2024. Candidates who applied online and appeared in the entrance examination conducted by the university on 13th July 2024, may now download their...",https://www.assamcareer.com/2022/05/dibrugarh-university-b-ed-admission.html#more,"[{'jump_name': 'DU B.Ed CET Merit List', 'jump_url': 'https://dibru.ac.in/wp-content/uploads/2024/07/RESULT-OF-ELIGIBLE-CANDIDATES-IN-ORDER-OF-MERIT.pdf'}, {'jump_name': 'DU B.Ed CET Scorecard', 'jump_url': 'https://erp.dibru.work/searchresult'}, {'jump_name': 'DU B.Ed CET Result Notice', 'jump_url': 'https://dibru.ac.in/wp-content/uploads/2024/07/BED-CET-2024-Result-Notification.pdf'}, {'jump_name': 'Official Website', 'jump_url': 'https://dibru.ac.in/'}]"
"DBHRGFTI Admission 2024 – Film Making, Acting & Sound Engineering Courses in Assam",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjQu9L2IalAcrGuysHQX5E_Neu9dtaurooKk-iKmORchMXoPsQxuA7h6EP-0Z6izV7lN1io_BHvngZMIKWYFDtqJK88ZxmyFk8WIRUWkCe6iz8EvR9wjVX8qrRs2h9joSD_jizg69PSvim3/s1600/sun.gif,"DBHRGFTI Guwahati Admission 2024 &nbsp; Dr. Bhupen Hazarika Regional Government Film and Television Institute (DBHRGFTI) Guwahati  has released the official notification for Admission into various Diploma Courses of Acting, Film and Video Editing, Cinematography and Sound...",https://www.assamcareer.com/2020/10/dbhrgfti-admission.html#more,"[{'jump_name': 'Online Application Form', 'jump_url': 'https://forms.gle/9iABWSBhXoU96WNp8'}, {'jump_name': 'Extension Notice', 'jump_url': 'https://dbhrgfti.assam.gov.in/latest/extension-noticeadmission-dbhrgfti-2024-25'}, {'jump_name': 'Admission Notification', 'jump_url': 'https://dbhrgfti.assam.gov.in/node/94235'}, {'jump_name': 'Admission Prospectus', 'jump_url': 'https://dbhrgfti.assam.gov.in/node/94236'}, {'jump_name': 'QR Code for Fee Payment', 'jump_url': 'https://dbhrgfti.assam.gov.in/sites/default/files/swf_utility_folder/departments/jcft_medhassu_in_oid_12/latest/qr_code_for_dbhrgfti_admission_form2024-25.pdf'}, {'jump_name': 'Sample Question Paper', 'jump_url': 'https://dbhrgfti.assam.gov.in/sites/default/files/swf_utility_folder/departments/jcft_medhassu_in_oid_12/latest/sample_question_paper_dbhrgfti_admission_test.pdf'}, {'jump_name': 'Official Website', 'jump_url': 'https://dbhrgfti.assam.gov.in'}]"
SSUHS GNM Admission 2024 – Online Apply for GNMEE,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjQu9L2IalAcrGuysHQX5E_Neu9dtaurooKk-iKmORchMXoPsQxuA7h6EP-0Z6izV7lN1io_BHvngZMIKWYFDtqJK88ZxmyFk8WIRUWkCe6iz8EvR9wjVX8qrRs2h9joSD_jizg69PSvim3/s1600/sun.gif,"  SSUHS GNM Admission 2024 &nbsp; Srimanta Sankaradeva University of Health Sciences  (SSUHS)  has released the official admission notification for admission into GNM courses  under Directorate of Health Service, Govt. of Assam in both Govt. and private GNM Training institutes...",https://www.assamcareer.com/2022/05/ssuhs-gnm-admission.html#more,"[{'jump_name': 'Category', 'jump_url': ''}, {'jump_name': 'General', 'jump_url': ''}, {'jump_name': 'SC/ST', 'jump_url': ''}, {'jump_name': 'OBC/MOBC/EWS', 'jump_url': ''}, {'jump_name': 'Tai Ahom/ Koch Rajbongshi/ Moran/Matak/ Chutia & TGL/ Ex-TGL Category', 'jump_url': ''}]"
Assam JMEE 2024 Exam – Submit Online Application,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjQu9L2IalAcrGuysHQX5E_Neu9dtaurooKk-iKmORchMXoPsQxuA7h6EP-0Z6izV7lN1io_BHvngZMIKWYFDtqJK88ZxmyFk8WIRUWkCe6iz8EvR9wjVX8qrRs2h9joSD_jizg69PSvim3/s1600/sun.gif,"  Assam JMEE 2024 &nbsp; Assam Science and Technology University (ASTU)  has released the official notification of Assam Joint MCA Entrance Examination (JMEE) 2024 . Interested and eligible candidates may apply online  from 21st June 2024 to 5th July, 202...",https://www.assamcareer.com/2020/07/assam-jmee.html#more,"[{'jump_name': 'Online Application Link', 'jump_url': 'https://formonline.net/ASTU_Jmee_Jlee_24/?r'}, {'jump_name': 'Official Notification', 'jump_url': 'https://astu.ac.in/?page_id=34405'}, {'jump_name': 'Information Brochure', 'jump_url': 'https://astu.ac.in/?page_id=34422'}, {'jump_name': 'Official Website', 'jump_url': 'https://astu.ac.in/'}]"
